sensorId,timestamp,co2,humidity,light,motion,temperature
sensor09,2025-11-18T06:50:08Z,636.00,43.00,8.00,0.00,19.00
sensor09,2025-11-18T06:55:07Z,631.00,43.00,10.00,0.00,19.00
sensor09,2025-11-18T07:00:07Z,629.00,43.00,12.00,0.00,19.00
sensor09,2025-11-18T07:05:07Z,619.00,43.00,16.00,0.00,18.90
sensor09,2025-11-18T07:10:07Z,607.00,43.00,22.00,0.00,19.00
sensor09,2025-11-18T07:15:08Z,606.00,43.00,30.00,0.00,19.00
sensor09,2025-11-18T07:20:07Z,616.00,43.00,38.00,0.00,19.00
sensor09,2025-11-18T07:25:07Z,616.00,43.00,41.00,0.00,19.00
sensor09,2025-11-18T07:30:07Z,613.00,43.00,43.00,0.00,19.00
sensor09,2025-11-18T07:35:07Z,627.00,43.00,34.00,0.00,19.00
sensor09,2025-11-18T07:40:07Z,628.00,43.00,32.00,0.00,19.00
sensor09,2025-11-18T07:45:07Z,622.00,43.00,31.00,0.00,19.00
sensor09,2025-11-18T07:50:07Z,621.00,43.00,29.00,0.00,19.00
sensor09,2025-11-18T07:55:07Z,608.00,43.00,30.00,0.00,18.90
sensor09,2025-11-18T08:00:07Z,626.00,43.00,31.00,0.00,19.00
sensor09,2025-11-18T08:05:07Z,617.00,43.00,34.00,0.00,19.00
sensor09,2025-11-18T08:10:07Z,607.00,43.00,38.00,0.00,19.00
sensor09,2025-11-18T08:15:07Z,611.00,43.00,41.00,0.00,19.00
sensor09,2025-11-18T08:20:07Z,600.00,43.00,45.00,0.00,19.00
sensor09,2025-11-18T08:25:07Z,606.00,43.00,48.00,0.00,19.00
sensor09,2025-11-18T08:30:07Z,611.00,43.00,52.00,0.00,19.00
sensor09,2025-11-18T08:35:07Z,610.00,43.00,52.00,1.00,19.00
sensor09,2025-11-18T08:40:07Z,589.00,43.00,52.00,3.00,19.00
sensor09,2025-11-18T08:45:07Z,604.00,43.00,52.00,1.00,19.00
sensor09,2025-11-18T08:50:07Z,606.00,43.00,56.00,0.00,19.00
sensor09,2025-11-18T08:55:07Z,595.00,43.00,68.00,0.00,19.00
sensor09,2025-11-18T09:00:07Z,601.00,43.00,226.00,4.00,19.00
sensor09,2025-11-18T09:05:07Z,621.00,43.00,256.00,2.00,19.10
sensor09,2025-11-18T09:10:07Z,618.00,42.00,275.00,0.00,19.10
sensor09,2025-11-18T09:15:07Z,637.00,42.00,304.00,2.00,19.10
sensor09,2025-11-18T09:20:07Z,630.00,42.00,247.00,3.00,19.10
sensor09,2025-11-18T09:25:07Z,660.00,42.00,325.00,1.00,19.10
sensor09,2025-11-18T09:30:07Z,682.00,42.00,377.00,2.00,19.20
sensor09,2025-11-18T09:35:07Z,700.00,42.00,260.00,2.00,19.30
sensor09,2025-11-18T09:40:07Z,748.00,42.00,283.00,2.00,19.30
sensor09,2025-11-18T09:45:07Z,726.00,42.00,260.00,1.00,19.30
sensor09,2025-11-18T09:50:07Z,751.00,42.00,373.00,2.00,19.40
sensor09,2025-11-18T09:55:07Z,763.00,42.00,269.00,0.00,19.40
